iter	Passed	Remaining
399	58271	87407
400	58420	87266
401	58552	87100
402	58677	86924
403	58808	86756
404	58932	86580
405	59068	86420
406	59196	86249
407	59326	86082
408	59452	85908
409	59581	85739
410	59711	85571
411	59840	85403
412	59967	85231
413	60095	85062
414	60232	84906
415	60365	84744
416	60488	84568
417	60619	84402
418	60747	84234
419	60871	84061
420	61002	83897
421	61136	83736
422	61270	83576
423	61402	83414
424	61537	83257
425	61672	83098
426	61804	82936
427	61935	82773
428	62065	82608
429	62201	82452
430	62330	82287
431	62462	82127
432	62588	81957
433	62717	81792
434	62849	81632
435	62981	81470
436	63108	81304
437	63237	81140
438	63371	80982
439	63500	80818
440	63628	80653
441	63757	80489
442	63881	80320
443	64009	80156
444	64134	79988
445	64265	79827
446	64395	79666
447	64522	79501
448	64647	79334
449	64771	79165
450	64897	78999
451	65025	78836
452	65152	78672
453	65276	78504
454	65401	78337
455	65527	78173
456	65655	78011
457	65782	77847
458	65907	77682
459	66031	77515
460	66156	77350
461	66282	77186
462	66408	77022
463	66531	76855
464	66661	76696
465	66788	76534
466	66915	76372
467	67046	76215
468	67174	76054
469	67303	75895
470	67431	75734
471	67556	75571
472	67678	75405
473	67803	75242
474	67927	75077
475	68058	74922
476	68182	74757
477	68329	74618
478	68456	74459
479	68580	74295
480	68711	74140
481	68835	73976
482	68965	73819
483	69094	73662
484	69217	73499
485	69342	73337
486	69474	73183
487	69597	73020
488	69726	72863
489	69853	72704
490	69976	72542
491	70103	72383
492	70226	72220
493	70354	72063
494	70476	71900
495	70600	71739
496	70728	71582
497	70850	71419
498	70973	71258
499	71098	71098
500	71227	70943
501	71358	70789
502	71487	70634
503	71613	70476
504	71744	70323
505	71866	70162
506	71989	70001
507	72117	69846
508	72241	69686
509	72371	69533
510	72500	69379
511	72623	69218
512	72749	69062
513	72871	68902
514	73001	68748
515	73124	68589
516	73254	68437
517	73379	68279
518	73520	68137
519	73647	67981
520	73770	67823
521	73900	67671
522	74023	67513
523	74153	67360
524	74281	67206
525	74410	67054
526	74535	66898
527	74660	66742
528	74785	66586
529	74910	66429
530	75039	66277
531	75164	66121
532	75298	65974
533	75422	65818
534	75551	65665
535	75675	65509
536	75805	65359
537	75930	65204
538	76059	65052
539	76183	64896
540	76313	64746
541	76440	64594
542	76567	64440
543	76695	64289
544	76831	64143
545	76960	63992
546	77086	63839
547	77213	63686
548	77345	63538
549	77482	63394
550	77615	63247
551	77743	63096
552	77876	62948
553	77950	62754
554	78074	62600
555	78206	62452
556	78335	62302
557	78459	62149
558	78583	61995
559	78708	61842
560	78836	61692
561	78962	61540
562	79086	61387
563	79209	61233
564	79335	61081
565	79462	60930
566	79585	60777
567	79709	60624
568	79837	60474
569	79966	60325
570	80106	60185
571	80233	60034
572	80374	59895
573	80522	59760
574	80654	59614
575	80788	59469
576	80917	59321
577	81042	59169
578	81178	59026
579	81302	58874
580	81441	58732
581	81579	58591
582	81714	58447
583	81869	58318
584	82000	58171
585	82124	58019
586	82253	57872
587	82388	57728
588	82538	57594
589	82670	57448
590	82807	57306
591	82959	57174
592	83108	57041
593	83246	56899
594	83467	56814
595	83703	56738
596	83890	56629
597	84131	56556
598	84267	56412
599	84444	56296
600	84646	56196
601	84820	56077
602	84967	55940
603	85135	55817
604	85307	55696
605	85468	55568
606	85619	55433
607	85751	55287
608	85923	55165
609	86083	55037
610	86294	54940
611	86596	54901
612	86785	54789
613	86963	54671
614	87150	54557
615	87327	54438
616	87512	54322
617	87688	54202
618	87863	54080
619	88044	53962
620	88215	53838
621	88400	53722
622	88575	53600
623	88758	53482
624	88927	53356
625	89109	53237
626	89292	53119
627	89479	53003
628	89702	52908
629	89999	52856
630	90185	52739
631	90377	52624
632	90559	52504
633	90739	52382
634	90927	52265
635	91125	52153
636	91281	52017
637	91438	51881
638	91593	51745
639	91756	51612
640	91913	51477
641	92072	51342
642	92226	51205
643	92387	51071
644	92541	50933
645	92720	50809
646	92932	50703
647	93120	50583
648	93274	50445
649	93427	50307
650	93591	50174
651	93760	50043
652	94075	49991
653	94280	49879
654	94563	49808
655	94757	49689
656	94924	49557
657	95103	49430
658	95288	49307
659	95452	49172
660	95621	49040
661	95793	48909
662	95956	48774
663	96122	48640
664	96309	48516
665	96465	48377
666	96641	48248
667	96859	48139
668	97026	48005
669	97223	47886
670	97390	47751
671	97569	47622
672	97753	47496
673	97908	47356
674	98063	47215
675	98225	47078
676	98417	46955
677	98585	46820
678	98739	46679
679	98895	46538
680	99119	46430
681	99343	46321
682	99575	46216
683	99780	46097
684	99909	45943
685	100036	45789
686	100167	45636
687	100301	45485
688	100445	45339
689	100579	45187
690	100718	45039
691	100863	44892
692	101005	44745
693	101195	44619
694	101324	44466
695	101453	44312
696	101586	44161
697	101716	44009
698	101846	43856
699	101973	43702
700	102102	43550
701	102234	43398
702	102362	43245
703	102489	43092
704	102616	42938
705	102743	42785
706	102891	42641
707	103021	42488
708	103149	42336
709	103274	42182
710	103405	42031
711	103565	41891
712	103744	41759
713	103881	41610
714	104019	41462
715	104150	41311
716	104281	41159
717	104414	41009
